GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coc-song-reader,za.co.ashleagardens.coc,ProgressBarDemo.Task,56,0,2,0,16,0,4,0,3,0
coc-song-reader,za.co.ashleagardens.coc,CocSongReaderApp,745,0,18,0,185,0,19,0,10,0
coc-song-reader,za.co.ashleagardens.coc,CocSongReaderApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
coc-song-reader,za.co.ashleagardens.coc,ProgressBarDemo,168,0,2,0,39,0,6,0,5,0
coc-song-reader,za.co.ashleagardens.coc,CocSongReaderApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
coc-song-reader,za.co.ashleagardens.coc,ProgressBarDemo.new Runnable() {...},5,0,0,0,3,0,2,0,2,0
coc-song-reader,za.co.ashleagardens.coc,CocSongReaderApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
coc-song-reader,za.co.ashleagardens.coc,CocSongReaderApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
coc-song-reader,za.co.ashleagardens.coc,CocSongReaderApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
coc-song-reader,za.co.ashleagardens.coc,CocSongReaderApp.new Runnable() {...},18,0,0,0,8,0,2,0,2,0
coc-song-reader,za.co.ashleagardens.coc,CocSongReaderApp.new ActionListener() {...},25,0,0,0,3,0,2,0,2,0
coc-song-reader,za.co.ashleagardens.coc.util,PptHelper,286,128,43,13,38,30,29,8,4,5
